"bound","FDP_bar","alpha"
"KR",0.60156004893888,0.15
"KR",0.595051779713266,0.15
"KR",0.526197217195727,0.15
"KR",0.429707175082483,0.15
"KR",0.466154343892308,0.15
"KR",0.429108875967937,0.15
"KR",0.423260752131754,0.15
"KR",0.370301234488424,0.15
"KR",0.442535225216434,0.15
"KR",0.51862145961997,0.15
"KR",0.359430998190462,0.2
"KR",0.471431941931197,0.2
"KR",0.574320702501166,0.2
"KR",0.494549315303007,0.2
"KR",0.725255518521557,0.2
"KR",0.632879027393714,0.2
"KR",0.584644888095203,0.2
"KR",0.514290717918478,0.2
"KR",0.793654164153419,0.2
"KR",0.557009462066543,0.2
"KR-U",0.433379937608966,0.15
"KR-U",0.40684647204107,0.15
"KR-U",0.541699694244216,0.15
"KR-U",0.372475540103348,0.15
"KR-U",0.373681459207344,0.15
"KR-U",0.403615726350626,0.15
"KR-U",0.350243632378795,0.15
"KR-U",0.32370501339137,0.15
"KR-U",0.367939707353132,0.15
"KR-U",0.381181961579864,0.15
"KR-U",0.365011889927918,0.2
"KR-U",0.387399921315532,0.2
"KR-U",0.460808379297355,0.2
"KR-U",0.451765512295712,0.2
"KR-U",0.521755282093313,0.2
"KR-U",0.471419468560084,0.2
"KR-U",0.459537787058134,0.2
"KR-U",0.418763191241631,0.2
"KR-U",0.550267975207854,0.2
"KR-U",0.46969606065122,0.2
"KJI-A",0.434782608695652,0.15
"KJI-A",0.408163265306122,0.15
"KJI-A",0.416666666666667,0.15
"KJI-A",0.366336633663366,0.15
"KJI-A",0.369565217391304,0.15
"KJI-A",0.373831775700935,0.15
"KJI-A",0.337209302325581,0.15
"KJI-A",0.316831683168317,0.15
"KJI-A",0.363636363636364,0.15
"KJI-A",0.383838383838384,0.15
"KJI-A",0.32,0.2
"KJI-A",0.37962962962963,0.2
"KJI-A",0.454545454545455,0.2
"KJI-A",0.445454545454545,0.2
"KJI-A",0.523255813953488,0.2
"KJI-A",0.473118279569892,0.2
"KJI-A",0.462365591397849,0.2
"KJI-A",0.412371134020619,0.2
"KJI-A",0.555555555555556,0.2
"KJI-A",0.466019417475728,0.2
"KJI-B",0.326086956521739,0.15
"KJI-B",0.306122448979592,0.15
"KJI-B",0.388888888888889,0.15
"KJI-B",0.297029702970297,0.15
"KJI-B",0.293478260869565,0.15
"KJI-B",0.355140186915888,0.15
"KJI-B",0.244186046511628,0.15
"KJI-B",0.257425742574257,0.15
"KJI-B",0.340909090909091,0.15
"KJI-B",0.323232323232323,0.15
"KJI-B",0.29,0.2
"KJI-B",0.296296296296296,0.2
"KJI-B",0.393939393939394,0.2
"KJI-B",0.372727272727273,0.2
"KJI-B",0.406976744186047,0.2
"KJI-B",0.419354838709677,0.2
"KJI-B",0.376344086021505,0.2
"KJI-B",0.350515463917526,0.2
"KJI-B",0.488888888888889,0.2
"KJI-B",0.436893203883495,0.2
"KJI-C",0.369565217391304,0.15
"KJI-C",0.346938775510204,0.15
"KJI-C",0.444444444444444,0.15
"KJI-C",0.336633663366337,0.15
"KJI-C",0.33695652173913,0.15
"KJI-C",0.392523364485981,0.15
"KJI-C",0.290697674418605,0.15
"KJI-C",0.297029702970297,0.15
"KJI-C",0.386363636363636,0.15
"KJI-C",0.363636363636364,0.15
"KJI-C",0.33,0.2
"KJI-C",0.333333333333333,0.2
"KJI-C",0.434343434343434,0.2
"KJI-C",0.409090909090909,0.2
"KJI-C",0.453488372093023,0.2
"KJI-C",0.462365591397849,0.2
"KJI-C",0.419354838709677,0.2
"KJI-C",0.391752577319588,0.2
"KJI-C",0.555555555555556,0.2
"KJI-C",0.475728155339806,0.2
"KJI-D",0.402173913043478,0.15
"KJI-D",0.377551020408163,0.15
"KJI-D",0.361111111111111,0.15
"KJI-D",0.297029702970297,0.15
"KJI-D",0.293478260869565,0.15
"KJI-D",0.345794392523364,0.15
"KJI-D",0.244186046511628,0.15
"KJI-D",0.257425742574257,0.15
"KJI-D",0.340909090909091,0.15
"KJI-D",0.373737373737374,0.15
"KJI-D",0.29,0.2
"KJI-D",0.351851851851852,0.2
"KJI-D",0.424242424242424,0.2
"KJI-D",0.372727272727273,0.2
"KJI-D",0.430232558139535,0.2
"KJI-D",0.397849462365591,0.2
"KJI-D",0.419354838709677,0.2
"KJI-D",0.350515463917526,0.2
"KJI-D",0.477777777777778,0.2
"KJI-D",0.41747572815534,0.2
