"bound","FDP_bar","m"
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",0.780642512430365,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",0.831047968741852,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
"FREEDMAN",1,10
