"k_hat","r_hat","m"
10,2,10
10,3,10
10,0,10
10,0,10
10,0,10
7,0,10
9,0,10
10,1,10
10,2,10
8,1,10
9,0,10
10,2,10
10,1,10
10,2,10
7,1,10
10,1,10
7,1,10
10,1,10
10,1,10
10,0,10
10,1,10
10,1,10
7,0,10
10,2,10
10,0,10
10,1,10
10,2,10
10,2,10
10,2,10
10,3,10
10,0,10
10,1,10
7,1,10
9,0,10
10,2,10
10,3,10
10,2,10
10,2,10
10,0,10
10,1,10
10,2,10
10,2,10
10,1,10
10,1,10
10,1,10
10,1,10
10,2,10
10,0,10
10,1,10
10,1,10
10,1,10
10,0,10
8,1,10
7,1,10
10,1,10
10,3,10
10,1,10
10,1,10
10,0,10
10,2,10
9,1,10
10,1,10
5,0,10
10,4,10
10,0,10
10,2,10
8,1,10
10,4,10
10,2,10
10,1,10
10,2,10
10,3,10
10,2,10
7,0,10
6,0,10
10,2,10
8,1,10
10,0,10
7,1,10
7,0,10
10,1,10
7,1,10
10,2,10
10,2,10
10,1,10
10,1,10
10,1,10
10,0,10
8,1,10
10,1,10
8,1,10
8,1,10
10,2,10
10,0,10
10,0,10
10,2,10
10,0,10
9,1,10
10,2,10
6,0,10
100,18,100
100,17,100
100,19,100
100,12,100
100,12,100
100,17,100
100,13,100
92,10,100
100,11,100
100,16,100
100,9,100
100,10,100
100,15,100
100,14,100
99,10,100
100,11,100
100,11,100
100,13,100
99,9,100
85,8,100
100,13,100
100,9,100
100,13,100
100,15,100
100,11,100
100,12,100
100,14,100
100,14,100
100,8,100
100,12,100
100,14,100
100,11,100
100,11,100
100,13,100
100,16,100
100,14,100
100,15,100
100,10,100
78,7,100
100,14,100
100,10,100
100,12,100
100,9,100
100,11,100
100,12,100
100,15,100
100,15,100
100,9,100
100,9,100
95,9,100
63,6,100
100,11,100
100,15,100
100,11,100
94,9,100
100,16,100
100,11,100
100,11,100
100,12,100
100,14,100
100,14,100
100,8,100
100,20,100
100,11,100
100,13,100
100,17,100
100,14,100
100,11,100
100,10,100
100,12,100
100,13,100
100,12,100
100,12,100
100,12,100
100,12,100
100,12,100
100,15,100
100,11,100
100,10,100
100,11,100
100,14,100
100,14,100
100,13,100
100,14,100
100,10,100
100,14,100
100,13,100
100,13,100
100,16,100
100,10,100
100,12,100
92,7,100
100,12,100
100,12,100
89,9,100
100,10,100
100,14,100
100,15,100
100,14,100
100,13,100
973,91,1000
1000,101,1000
1000,94,1000
808,77,1000
993,93,1000
907,86,1000
1000,99,1000
1000,92,1000
1000,92,1000
1000,100,1000
1000,100,1000
1000,92,1000
1000,97,1000
973,87,1000
1000,98,1000
1000,106,1000
1000,96,1000
897,81,1000
1000,102,1000
1000,98,1000
1000,92,1000
900,85,1000
973,89,1000
976,88,1000
1000,95,1000
949,84,1000
1000,104,1000
927,88,1000
1000,101,1000
1000,94,1000
1000,97,1000
919,85,1000
846,78,1000
1000,95,1000
1000,93,1000
959,94,1000
1000,106,1000
935,87,1000
1000,90,1000
938,88,1000
1000,92,1000
1000,92,1000
878,80,1000
842,75,1000
936,83,1000
904,80,1000
912,84,1000
1000,97,1000
998,95,1000
1000,101,1000
970,86,1000
993,92,1000
854,75,1000
1000,96,1000
1000,94,1000
979,86,1000
1000,96,1000
1000,96,1000
1000,96,1000
986,88,1000
931,85,1000
1000,98,1000
917,85,1000
786,71,1000
996,94,1000
1000,92,1000
1000,98,1000
923,85,1000
1000,91,1000
895,84,1000
1000,100,1000
1000,99,1000
1000,96,1000
1000,87,1000
1000,96,1000
998,92,1000
829,77,1000
960,89,1000
848,78,1000
940,83,1000
1000,97,1000
899,83,1000
917,84,1000
1000,96,1000
899,82,1000
980,88,1000
1000,94,1000
1000,95,1000
1000,94,1000
806,77,1000
1000,96,1000
759,69,1000
920,87,1000
1000,96,1000
876,79,1000
1000,98,1000
872,83,1000
1000,99,1000
911,83,1000
902,85,1000
5807,525,10000
6184,565,10000
6016,559,10000
6047,551,10000
5420,508,10000
6143,556,10000
5766,525,10000
5877,548,10000
5959,538,10000
6128,557,10000
5570,517,10000
5979,538,10000
5721,531,10000
5968,557,10000
5900,542,10000
5741,541,10000
5332,494,10000
5920,563,10000
5885,543,10000
5532,514,10000
6192,561,10000
5905,542,10000
5888,542,10000
5932,533,10000
5806,535,10000
5798,540,10000
5829,535,10000
5651,526,10000
5715,537,10000
5937,550,10000
5669,530,10000
5719,532,10000
6464,583,10000
5560,519,10000
5914,534,10000
5438,506,10000
5524,511,10000
5837,537,10000
5785,535,10000
5710,519,10000
5846,534,10000
5917,541,10000
5745,535,10000
5503,505,10000
5864,534,10000
5955,551,10000
5502,510,10000
5745,532,10000
5549,514,10000
5835,538,10000
5390,494,10000
5465,508,10000
5459,512,10000
5309,487,10000
5666,522,10000
5803,543,10000
5441,498,10000
5721,518,10000
6026,549,10000
5550,516,10000
5666,530,10000
5958,546,10000
6347,589,10000
6073,550,10000
5860,542,10000
6018,550,10000
5910,538,10000
6075,565,10000
5508,518,10000
6258,575,10000
5981,537,10000
6306,568,10000
5888,541,10000
6044,544,10000
5976,547,10000
6070,559,10000
5438,502,10000
6087,545,10000
5658,531,10000
5671,514,10000
5634,514,10000
5639,531,10000
5763,528,10000
6375,593,10000
5850,541,10000
5529,510,10000
5833,535,10000
5435,504,10000
5967,548,10000
6027,542,10000
5542,523,10000
5479,518,10000
5865,535,10000
5984,550,10000
5944,536,10000
5817,541,10000
6138,543,10000
5337,501,10000
6184,557,10000
5702,533,10000
10,2,10
10,3,10
10,0,10
10,0,10
10,0,10
7,0,10
9,0,10
10,1,10
10,2,10
8,1,10
9,0,10
10,2,10
10,1,10
10,2,10
7,1,10
10,1,10
7,1,10
10,1,10
10,1,10
10,0,10
10,1,10
10,1,10
7,0,10
10,2,10
10,0,10
10,1,10
10,2,10
10,2,10
10,2,10
10,3,10
10,0,10
10,1,10
7,1,10
9,0,10
10,2,10
10,3,10
10,2,10
10,2,10
10,0,10
10,1,10
10,2,10
10,2,10
10,1,10
10,1,10
10,1,10
10,1,10
10,2,10
10,0,10
10,1,10
10,1,10
10,1,10
10,0,10
8,1,10
7,1,10
10,1,10
10,3,10
10,1,10
10,1,10
10,0,10
10,2,10
9,1,10
10,1,10
5,0,10
10,4,10
10,0,10
10,2,10
8,1,10
10,4,10
10,2,10
10,1,10
10,2,10
10,3,10
10,2,10
7,0,10
6,0,10
10,2,10
8,1,10
10,0,10
7,1,10
7,0,10
10,1,10
7,1,10
10,2,10
10,2,10
10,1,10
10,1,10
10,1,10
10,0,10
8,1,10
10,1,10
8,1,10
8,1,10
10,2,10
10,0,10
10,0,10
10,2,10
10,0,10
9,1,10
10,2,10
6,0,10
100,18,100
100,17,100
100,19,100
100,12,100
100,12,100
100,17,100
100,13,100
92,10,100
100,11,100
100,16,100
100,9,100
100,10,100
100,15,100
100,14,100
99,10,100
100,11,100
100,11,100
100,13,100
99,9,100
85,8,100
100,13,100
100,9,100
100,13,100
100,15,100
100,11,100
100,12,100
100,14,100
100,14,100
100,8,100
100,12,100
100,14,100
100,11,100
100,11,100
100,13,100
100,16,100
100,14,100
100,15,100
100,10,100
78,7,100
100,14,100
100,10,100
100,12,100
100,9,100
100,11,100
100,12,100
100,15,100
100,15,100
100,9,100
100,9,100
95,9,100
63,6,100
100,11,100
100,15,100
100,11,100
94,9,100
100,16,100
100,11,100
100,11,100
100,12,100
100,14,100
100,14,100
100,8,100
100,20,100
100,11,100
100,13,100
100,17,100
100,14,100
100,11,100
100,10,100
100,12,100
100,13,100
100,12,100
100,12,100
100,12,100
100,12,100
100,12,100
100,15,100
100,11,100
100,10,100
100,11,100
100,14,100
100,14,100
100,13,100
100,14,100
100,10,100
100,14,100
100,13,100
100,13,100
100,16,100
100,10,100
100,12,100
92,7,100
100,12,100
100,12,100
89,9,100
100,10,100
100,14,100
100,15,100
100,14,100
100,13,100
973,91,1000
1000,101,1000
1000,94,1000
808,77,1000
993,93,1000
907,86,1000
1000,99,1000
1000,92,1000
1000,92,1000
1000,100,1000
1000,100,1000
1000,92,1000
1000,97,1000
973,87,1000
1000,98,1000
1000,106,1000
1000,96,1000
897,81,1000
1000,102,1000
1000,98,1000
1000,92,1000
900,85,1000
973,89,1000
976,88,1000
1000,95,1000
949,84,1000
1000,104,1000
927,88,1000
1000,101,1000
1000,94,1000
1000,97,1000
919,85,1000
846,78,1000
1000,95,1000
1000,93,1000
959,94,1000
1000,106,1000
935,87,1000
1000,90,1000
938,88,1000
1000,92,1000
1000,92,1000
878,80,1000
842,75,1000
936,83,1000
904,80,1000
912,84,1000
1000,97,1000
998,95,1000
1000,101,1000
970,86,1000
993,92,1000
854,75,1000
1000,96,1000
1000,94,1000
979,86,1000
1000,96,1000
1000,96,1000
1000,96,1000
986,88,1000
931,85,1000
1000,98,1000
917,85,1000
786,71,1000
996,94,1000
1000,92,1000
1000,98,1000
923,85,1000
1000,91,1000
895,84,1000
1000,100,1000
1000,99,1000
1000,96,1000
1000,87,1000
1000,96,1000
998,92,1000
829,77,1000
960,89,1000
848,78,1000
940,83,1000
1000,97,1000
899,83,1000
917,84,1000
1000,96,1000
899,82,1000
980,88,1000
1000,94,1000
1000,95,1000
1000,94,1000
806,77,1000
1000,96,1000
759,69,1000
920,87,1000
1000,96,1000
876,79,1000
1000,98,1000
872,83,1000
1000,99,1000
911,83,1000
902,85,1000
5807,525,10000
6184,565,10000
6016,559,10000
6047,551,10000
5420,508,10000
6143,556,10000
5766,525,10000
5877,548,10000
5959,538,10000
6128,557,10000
5570,517,10000
5979,538,10000
5721,531,10000
5968,557,10000
5900,542,10000
5741,541,10000
5332,494,10000
5920,563,10000
5885,543,10000
5532,514,10000
6192,561,10000
5905,542,10000
5888,542,10000
5932,533,10000
5806,535,10000
5798,540,10000
5829,535,10000
5651,526,10000
5715,537,10000
5937,550,10000
5669,530,10000
5719,532,10000
6464,583,10000
5560,519,10000
5914,534,10000
5438,506,10000
5524,511,10000
5837,537,10000
5785,535,10000
5710,519,10000
5846,534,10000
5917,541,10000
5745,535,10000
5503,505,10000
5864,534,10000
5955,551,10000
5502,510,10000
5745,532,10000
5549,514,10000
5835,538,10000
5390,494,10000
5465,508,10000
5459,512,10000
5309,487,10000
5666,522,10000
5803,543,10000
5441,498,10000
5721,518,10000
6026,549,10000
5550,516,10000
5666,530,10000
5958,546,10000
6347,589,10000
6073,550,10000
5860,542,10000
6018,550,10000
5910,538,10000
6075,565,10000
5508,518,10000
6258,575,10000
5981,537,10000
6306,568,10000
5888,541,10000
6044,544,10000
5976,547,10000
6070,559,10000
5438,502,10000
6087,545,10000
5658,531,10000
5671,514,10000
5634,514,10000
5639,531,10000
5763,528,10000
6375,593,10000
5850,541,10000
5529,510,10000
5833,535,10000
5435,504,10000
5967,548,10000
6027,542,10000
5542,523,10000
5479,518,10000
5865,535,10000
5984,550,10000
5944,536,10000
5817,541,10000
6138,543,10000
5337,501,10000
6184,557,10000
5702,533,10000
10,2,10
10,3,10
10,0,10
10,0,10
10,0,10
7,0,10
9,0,10
10,1,10
10,2,10
8,1,10
9,0,10
10,2,10
10,1,10
10,2,10
7,1,10
10,1,10
7,1,10
10,1,10
10,1,10
10,0,10
10,1,10
10,1,10
7,0,10
10,2,10
10,0,10
10,1,10
10,2,10
10,2,10
10,2,10
10,3,10
10,0,10
10,1,10
7,1,10
9,0,10
10,2,10
10,3,10
10,2,10
10,2,10
10,0,10
10,1,10
10,2,10
10,2,10
10,1,10
10,1,10
10,1,10
10,1,10
10,2,10
10,0,10
10,1,10
10,1,10
10,1,10
10,0,10
8,1,10
7,1,10
10,1,10
10,3,10
10,1,10
10,1,10
10,0,10
10,2,10
9,1,10
10,1,10
5,0,10
10,4,10
10,0,10
10,2,10
8,1,10
10,4,10
10,2,10
10,1,10
10,2,10
10,3,10
10,2,10
7,0,10
6,0,10
10,2,10
8,1,10
10,0,10
7,1,10
7,0,10
10,1,10
7,1,10
10,2,10
10,2,10
10,1,10
10,1,10
10,1,10
10,0,10
8,1,10
10,1,10
8,1,10
8,1,10
10,2,10
10,0,10
10,0,10
10,2,10
10,0,10
9,1,10
10,2,10
6,0,10
100,18,100
100,17,100
100,19,100
100,12,100
100,12,100
100,17,100
100,13,100
92,10,100
100,11,100
100,16,100
100,9,100
100,10,100
100,15,100
100,14,100
99,10,100
100,11,100
100,11,100
100,13,100
99,9,100
85,8,100
100,13,100
100,9,100
100,13,100
100,15,100
100,11,100
100,12,100
100,14,100
100,14,100
100,8,100
100,12,100
100,14,100
100,11,100
100,11,100
100,13,100
100,16,100
100,14,100
100,15,100
100,10,100
78,7,100
100,14,100
100,10,100
100,12,100
100,9,100
100,11,100
100,12,100
100,15,100
100,15,100
100,9,100
100,9,100
95,9,100
63,6,100
100,11,100
100,15,100
100,11,100
94,9,100
100,16,100
100,11,100
100,11,100
100,12,100
100,14,100
100,14,100
100,8,100
100,20,100
100,11,100
100,13,100
100,17,100
100,14,100
100,11,100
100,10,100
100,12,100
100,13,100
100,12,100
100,12,100
100,12,100
100,12,100
100,12,100
100,15,100
100,11,100
100,10,100
100,11,100
100,14,100
100,14,100
100,13,100
100,14,100
100,10,100
100,14,100
100,13,100
100,13,100
100,16,100
100,10,100
100,12,100
92,7,100
100,12,100
100,12,100
89,9,100
100,10,100
100,14,100
100,15,100
100,14,100
100,13,100
973,91,1000
1000,101,1000
1000,94,1000
808,77,1000
993,93,1000
907,86,1000
1000,99,1000
1000,92,1000
1000,92,1000
1000,100,1000
1000,100,1000
1000,92,1000
1000,97,1000
973,87,1000
1000,98,1000
1000,106,1000
1000,96,1000
897,81,1000
1000,102,1000
1000,98,1000
1000,92,1000
900,85,1000
973,89,1000
976,88,1000
1000,95,1000
949,84,1000
1000,104,1000
927,88,1000
1000,101,1000
1000,94,1000
1000,97,1000
919,85,1000
846,78,1000
1000,95,1000
1000,93,1000
959,94,1000
1000,106,1000
935,87,1000
1000,90,1000
938,88,1000
1000,92,1000
1000,92,1000
878,80,1000
842,75,1000
936,83,1000
904,80,1000
912,84,1000
1000,97,1000
998,95,1000
1000,101,1000
970,86,1000
993,92,1000
854,75,1000
1000,96,1000
1000,94,1000
979,86,1000
1000,96,1000
1000,96,1000
1000,96,1000
986,88,1000
931,85,1000
1000,98,1000
917,85,1000
786,71,1000
996,94,1000
1000,92,1000
1000,98,1000
923,85,1000
1000,91,1000
895,84,1000
1000,100,1000
1000,99,1000
1000,96,1000
1000,87,1000
1000,96,1000
998,92,1000
829,77,1000
960,89,1000
848,78,1000
940,83,1000
1000,97,1000
899,83,1000
917,84,1000
1000,96,1000
899,82,1000
980,88,1000
1000,94,1000
1000,95,1000
1000,94,1000
806,77,1000
1000,96,1000
759,69,1000
920,87,1000
1000,96,1000
876,79,1000
1000,98,1000
872,83,1000
1000,99,1000
911,83,1000
902,85,1000
5807,525,10000
6184,565,10000
6016,559,10000
6047,551,10000
5420,508,10000
6143,556,10000
5766,525,10000
5877,548,10000
5959,538,10000
6128,557,10000
5570,517,10000
5979,538,10000
5721,531,10000
5968,557,10000
5900,542,10000
5741,541,10000
5332,494,10000
5920,563,10000
5885,543,10000
5532,514,10000
6192,561,10000
5905,542,10000
5888,542,10000
5932,533,10000
5806,535,10000
5798,540,10000
5829,535,10000
5651,526,10000
5715,537,10000
5937,550,10000
5669,530,10000
5719,532,10000
6464,583,10000
5560,519,10000
5914,534,10000
5438,506,10000
5524,511,10000
5837,537,10000
5785,535,10000
5710,519,10000
5846,534,10000
5917,541,10000
5745,535,10000
5503,505,10000
5864,534,10000
5955,551,10000
5502,510,10000
5745,532,10000
5549,514,10000
5835,538,10000
5390,494,10000
5465,508,10000
5459,512,10000
5309,487,10000
5666,522,10000
5803,543,10000
5441,498,10000
5721,518,10000
6026,549,10000
5550,516,10000
5666,530,10000
5958,546,10000
6347,589,10000
6073,550,10000
5860,542,10000
6018,550,10000
5910,538,10000
6075,565,10000
5508,518,10000
6258,575,10000
5981,537,10000
6306,568,10000
5888,541,10000
6044,544,10000
5976,547,10000
6070,559,10000
5438,502,10000
6087,545,10000
5658,531,10000
5671,514,10000
5634,514,10000
5639,531,10000
5763,528,10000
6375,593,10000
5850,541,10000
5529,510,10000
5833,535,10000
5435,504,10000
5967,548,10000
6027,542,10000
5542,523,10000
5479,518,10000
5865,535,10000
5984,550,10000
