"bound","FDP_bar","m"
"DKW",0.958154392225821,10
"DKW",0.833529937229964,10
"DKW",0.848817263905307,10
"DKW",1,10
"DKW",0.368074025903607,10
"DKW",0.732079534672123,10
"DKW",1,10
"DKW",0.512638296348625,10
"DKW",0.567341743361622,10
"DKW",0.626616745409969,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.577193987035501,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.288758167278477,10
"DKW",0.537101688992743,10
"DKW",0.609717002032325,10
"DKW",1,10
"DKW",0.472274015475216,10
"DKW",0.970093408601996,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.793415516876254,10
"DKW",1,10
"DKW",0.458667049999645,10
"DKW",0.472320772655328,10
"DKW",0.707210151546184,10
"DKW",1,10
"DKW",0.683123945521848,10
"DKW",1,10
"DKW",0.556396054267464,10
"DKW",0.768289940268686,10
"DKW",1,10
"DKW",0.540487037327491,10
"DKW",1,10
"DKW",0.770013194612109,10
"DKW",1,10
"DKW",1,10
"DKW",0.428549316886281,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.209382202434497,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.779304576863602,10
"DKW",0.585840166106809,10
"DKW",1,10
"DKW",0.742704498531136,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.576654655607876,10
"DKW",1,10
"DKW",0.834544689195143,10
"DKW",0.557426761532214,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.637722751994716,10
"DKW",0.439405979405929,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.308873436536612,10
"DKW",1,10
"DKW",0.647703769008632,10
"DKW",0.868180796470152,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.537647279489469,10
"DKW",0.635436386989098,10
"DKW",0.750162578983022,10
"DKW",1,10
"DKW",0.183571577076282,10
"DKW",0.393204392674157,10
"DKW",1,10
"DKW",0.98248020474406,10
"DKW",1,10
"DKW",0.612648815052525,10
"DKW",1,10
"DKW",0.629176511229567,10
"DKW",1,10
"DKW",0.536103134444538,10
"DKW",1,10
"DKW",0.568402023828294,10
"DKW",1,10
"DKW",0.831744652579822,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.33446995111354,10
"DKW",0.693110567025313,10
"DKW",0.734208743914807,10
"DKW",1,10
"DKW",1,10
"DKW",0.360258592367564,10
"DKW",1,10
"DKW",0.37111533943095,10
"DKW",0.438900475326,10
"DKW",0.655602092275517,10
"DKW",1,10
"DKW",0.201247677201982,10
"DKW",1,10
"DKW",0.944715308127107,10
"DKW",0.642735177417478,10
"DKW",0.522529514405881,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.463075351410075,10
"DKW",0.935712503910702,10
"DKW",0.957004395485893,10
"DKW",0.455093359188099,10
"DKW",0.661003801250834,10
"DKW",1,10
"DKW",0.568943977931539,10
"DKW",0.858196443282232,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.84723659472954,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.272715105272533,10
"DKW",0.631112082552108,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.923901700055662,10
"DKW",0.687960225097279,10
"DKW",1,10
"DKW",0.529475601218621,10
"DKW",0.46902868176276,10
"DKW",0.763162120181656,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.454479011644163,10
"DKW",0.439767463393944,10
"DKW",0.76665708350198,10
"DKW",0.809858932818316,10
"DKW",0.99653080083178,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.499360053746384,10
"DKW",0.503901346407999,10
"DKW",0.359872788533807,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.741325372067288,10
"DKW",0.582083591605241,10
"DKW",1,10
"DKW",1,10
"DKW",0.905574187797122,10
"DKW",0.927183321724556,10
"DKW",0.430268291832608,10
"DKW",0.433218078890246,10
"DKW",0.926065100686434,10
"DKW",0.41619654967975,10
"DKW",1,10
"DKW",0.836706634651373,10
"DKW",0.640684963835319,10
"DKW",1,10
"DKW",0.557011754589047,10
"DKW",0.416176965783225,10
"DKW",1,10
"DKW",0.554716154723945,10
"DKW",1,10
"DKW",1,10
"DKW",0.342016940285165,10
"DKW",1,10
"DKW",0.909825140002971,10
"DKW",0.453835071313891,10
"DKW",0.750368980783316,10
"DKW",0.893760857066061,10
"DKW",1,10
"DKW",1,10
"DKW",0.567255652096359,10
"DKW",1,10
"DKW",1,10
"DKW",0.835013323200882,10
"DKW",0.851032430749884,10
"DKW",1,10
"DKW",1,10
"DKW",0.451443087733019,10
"DKW",0.737575645940878,10
"DKW",0.93401794614821,10
"DKW",0.386735142254883,10
"DKW",0.891457606193454,10
"DKW",1,10
"DKW",0.516032595196981,10
"DKW",0.893338316804771,10
"DKW",0.904706500333898,10
"DKW",0.93360249858616,10
"DKW",1,10
"DKW",1,10
"DKW",0.953380211350349,10
"DKW",1,10
"DKW",1,10
"DKW",0.488749834817683,10
"DKW",1,10
"DKW",0.765642865511215,10
"DKW",0.314070266715016,10
