"bound","FDP_bar","m"
"DKW",1,10
"DKW",0.749083058788087,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0.770748284152402,10
"DKW",0.550158304434072,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.601561471788539,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0.677551017012355,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.743110311917926,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0.470871324369548,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0.520832463060022,10
"DKW",1,10
"DKW",0,10
"DKW",0.97149383852806,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0.693166178053831,10
"DKW",0.381420261702638,10
"DKW",0,10
"DKW",0,10
"DKW",1,100
"DKW",1,100
"DKW",0.976537637093062,100
"DKW",0.625658440673985,100
"DKW",0.861754156084553,100
"DKW",1,100
"DKW",0.778570245795146,100
"DKW",1,100
"DKW",1,100
"DKW",0.72263521329564,100
"DKW",1,100
"DKW",0.483421264618523,100
"DKW",0.800158495950553,100
"DKW",1,100
"DKW",0,100
"DKW",1,100
"DKW",0,100
"DKW",0.64597972000533,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.341563757151528,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.764135672396953,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",0.335679831437665,100
"DKW",0.625841768979955,100
"DKW",0.79990173596288,100
"DKW",1,100
"DKW",1,100
"DKW",0.512912084780208,100
"DKW",1,100
"DKW",0.50639153059217,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.57331422583612,100
"DKW",1,100
"DKW",1,100
"DKW",0.780398104888851,100
"DKW",0,100
"DKW",0.399251745012241,100
"DKW",0.570551221263318,100
"DKW",0,100
"DKW",1,100
"DKW",0.843240055698603,100
"DKW",0,100
"DKW",0.815139313466851,100
"DKW",0.309617984135216,100
"DKW",1,100
"DKW",0.50863011308988,100
"DKW",0.653144688264999,100
"DKW",1,100
"DKW",0.96658126448522,100
"DKW",1,100
"DKW",0.657716906994499,100
"DKW",1,100
"DKW",0.849870927068341,100
"DKW",0,100
"DKW",0,100
"DKW",1,100
"DKW",0.847793597273362,100
"DKW",1,100
"DKW",0.92292684224363,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.736451480838324,100
"DKW",1,100
"DKW",1,100
"DKW",0.798021796658884,100
"DKW",1,100
"DKW",0.636765539537483,100
"DKW",1,100
"DKW",0.499819199435835,100
"DKW",1,100
"DKW",1,100
"DKW",0.873703711817972,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.975479105719465,100
"DKW",1,100
"DKW",0.422593546496839,100
"DKW",0.668739249499375,100
"DKW",1,100
"DKW",0.384832165413746,1000
"DKW",0.323344433832928,1000
"DKW",0.455292829764595,1000
"DKW",0.459807113238713,1000
"DKW",0.849720853119794,1000
"DKW",0.407665701440187,1000
"DKW",0.390864886587273,1000
"DKW",0.860026122185976,1000
"DKW",0.454384646304246,1000
"DKW",0.31283836612198,1000
"DKW",0.488772411924596,1000
"DKW",0.353992320328915,1000
"DKW",0.350945141662993,1000
"DKW",0.748748235047158,1000
"DKW",1,1000
"DKW",0.414637443906743,1000
"DKW",0.541461216174651,1000
"DKW",0.296599476612244,1000
"DKW",0.539705406942657,1000
"DKW",0.55751265713386,1000
"DKW",0.314354789682613,1000
"DKW",0.599935175494365,1000
"DKW",0.5860739343194,1000
"DKW",0.294094971840272,1000
"DKW",0.356083345229468,1000
"DKW",0.586355453470367,1000
"DKW",0.426024414348585,1000
"DKW",0.477061574471124,1000
"DKW",0.45154720454195,1000
"DKW",0.354605982394134,1000
"DKW",0.485741237854283,1000
"DKW",0.528106205914047,1000
"DKW",0.398848647079218,1000
"DKW",0.407632775254737,1000
"DKW",0.439567092595293,1000
"DKW",0.322747754563579,1000
"DKW",0.293081887451014,1000
"DKW",0.482211051270115,1000
"DKW",0.57991061206872,1000
"DKW",0.474791176925148,1000
"DKW",0.274264795102143,1000
"DKW",0.763046351454975,1000
"DKW",0.40117388278139,1000
"DKW",0.449318457770388,1000
"DKW",0.391267351712752,1000
"DKW",0.316690904921382,1000
"DKW",0.402722593230913,1000
"DKW",0.487019253989374,1000
"DKW",0.44755465637298,1000
"DKW",0.337109498764869,1000
"DKW",0.446285053724167,1000
"DKW",0.540561924037043,1000
"DKW",0.479194628432184,1000
"DKW",0.354870417563821,1000
"DKW",0.329477882195647,1000
"DKW",0.60193076840434,1000
"DKW",0.522562529066924,1000
"DKW",0.341547581667036,1000
"DKW",0.460013001051615,1000
"DKW",0.450417036595698,1000
"DKW",0.459510920253258,1000
"DKW",0.417690738914698,1000
"DKW",0.319522593421799,1000
"DKW",0.477745183988446,1000
"DKW",0.394350013115428,1000
"DKW",0.537464773244693,1000
"DKW",0.313595054608009,1000
"DKW",0.419205608707837,1000
"DKW",0.33395676268219,1000
"DKW",0.563544819983135,1000
"DKW",0.608100590076156,1000
"DKW",0.356815077061683,1000
"DKW",0.713666262210219,1000
"DKW",0.400985752385482,1000
"DKW",0.393399666342085,1000
"DKW",0.227413344106594,1000
"DKW",0.381850521023544,1000
"DKW",0.343039674337951,1000
"DKW",0.387898476105911,1000
"DKW",0.953358968902035,1000
"DKW",0.410859816791235,1000
"DKW",0.480186371212675,1000
"DKW",0.470834608372822,1000
"DKW",0.393069426752118,1000
"DKW",0.562733540165312,1000
"DKW",0.868304916593325,1000
"DKW",0.645400816788848,1000
"DKW",0.436577617228938,1000
"DKW",0.431712213033104,1000
"DKW",0.367935994806881,1000
"DKW",0.551048247312227,1000
"DKW",0.574191795415157,1000
"DKW",0.336822490707252,1000
"DKW",0.465282916855712,1000
"DKW",0.475254418285906,1000
"DKW",0.757340220149331,1000
"DKW",0.30777769541904,1000
"DKW",0.751527419360513,1000
"DKW",0.462519101221543,1000
"DKW",0.395598804298397,1000
"DKW",0.156671483565708,10000
"DKW",0.153335337647576,10000
"DKW",0.178199799873664,10000
"DKW",0.157262642973757,10000
"DKW",0.156910835031911,10000
"DKW",0.169720085654568,10000
"DKW",0.15380938715296,10000
"DKW",0.170678807163352,10000
"DKW",0.133873424881655,10000
"DKW",0.155827881122986,10000
"DKW",0.157889262051574,10000
"DKW",0.151781845935801,10000
"DKW",0.167880402633815,10000
"DKW",0.1426381909223,10000
"DKW",0.170733413812063,10000
"DKW",0.176177479472717,10000
"DKW",0.159481251819622,10000
"DKW",0.164068122549368,10000
"DKW",0.183696990048062,10000
"DKW",0.138850636302061,10000
"DKW",0.157292923463204,10000
"DKW",0.185815110216479,10000
"DKW",0.176914476355477,10000
"DKW",0.180640703659586,10000
"DKW",0.158649437438744,10000
"DKW",0.157833180568094,10000
"DKW",0.182297638856619,10000
"DKW",0.13367986337636,10000
"DKW",0.138363537119727,10000
"DKW",0.153213832024215,10000
"DKW",0.161046962811732,10000
"DKW",0.159024739923247,10000
"DKW",0.136040065806903,10000
"DKW",0.148203326916664,10000
"DKW",0.137022863842569,10000
"DKW",0.140975329328645,10000
"DKW",0.155690395247093,10000
"DKW",0.151104335192687,10000
"DKW",0.174064134487311,10000
"DKW",0.167813398644912,10000
"DKW",0.158181286742632,10000
"DKW",0.135087509198214,10000
"DKW",0.145838026444642,10000
"DKW",0.146954258284921,10000
"DKW",0.164694918963899,10000
"DKW",0.163597244417965,10000
"DKW",0.149564467032419,10000
"DKW",0.141180193585439,10000
"DKW",0.145186987670453,10000
"DKW",0.158806005715978,10000
"DKW",0.156157928053028,10000
"DKW",0.163029373269851,10000
"DKW",0.163411661822757,10000
"DKW",0.148023225911344,10000
"DKW",0.172776961341515,10000
"DKW",0.154563456644883,10000
"DKW",0.141445566151219,10000
"DKW",0.147396312330218,10000
"DKW",0.152752320992657,10000
"DKW",0.147254656662329,10000
"DKW",0.146628896658443,10000
"DKW",0.137663020199459,10000
"DKW",0.138777144013101,10000
"DKW",0.160327575361329,10000
"DKW",0.171448192397347,10000
"DKW",0.16980003469483,10000
"DKW",0.164982920348076,10000
"DKW",0.133480909177767,10000
"DKW",0.152097783996287,10000
"DKW",0.153403824153567,10000
"DKW",0.171291203921717,10000
"DKW",0.134997146779994,10000
"DKW",0.12873349804393,10000
"DKW",0.154449306083179,10000
"DKW",0.166328793886881,10000
"DKW",0.196841537446367,10000
"DKW",0.171432693572461,10000
"DKW",0.153864612333166,10000
"DKW",0.197889449578872,10000
