"k_hat","m"
1,10
5,10
0,10
0,10
5,10
2,10
4,10
1,10
6,10
4,10
6,10
4,10
4,10
3,10
2,10
2,10
6,10
0,10
0,10
6,10
3,10
2,10
4,10
3,10
1,10
1,10
1,10
1,10
3,10
0,10
3,10
0,10
4,10
5,10
2,10
1,10
5,10
0,10
4,10
2,10
2,10
1,10
2,10
1,10
7,10
4,10
4,10
1,10
2,10
0,10
2,10
0,10
3,10
6,10
4,10
0,10
3,10
8,10
3,10
5,10
3,10
3,10
1,10
5,10
0,10
2,10
3,10
6,10
5,10
1,10
4,10
4,10
3,10
4,10
1,10
2,10
3,10
0,10
4,10
1,10
3,10
7,10
1,10
2,10
4,10
1,10
6,10
0,10
3,10
4,10
1,10
2,10
5,10
1,10
4,10
5,10
2,10
2,10
1,10
0,10
34,100
8,100
32,100
29,100
29,100
14,100
32,100
18,100
22,100
26,100
35,100
39,100
36,100
34,100
22,100
23,100
33,100
29,100
21,100
29,100
27,100
30,100
14,100
34,100
42,100
15,100
32,100
40,100
26,100
2,100
31,100
37,100
23,100
25,100
25,100
25,100
36,100
28,100
26,100
24,100
30,100
8,100
24,100
26,100
22,100
22,100
28,100
26,100
17,100
31,100
25,100
14,100
12,100
24,100
21,100
17,100
21,100
22,100
34,100
16,100
27,100
11,100
26,100
22,100
18,100
23,100
21,100
35,100
29,100
22,100
27,100
37,100
24,100
33,100
25,100
24,100
37,100
27,100
25,100
37,100
38,100
27,100
20,100
32,100
12,100
25,100
24,100
32,100
27,100
32,100
43,100
18,100
24,100
31,100
29,100
6,100
30,100
25,100
31,100
33,100
263,1000
215,1000
281,1000
300,1000
245,1000
258,1000
255,1000
244,1000
205,1000
269,1000
271,1000
282,1000
266,1000
241,1000
275,1000
233,1000
230,1000
237,1000
233,1000
287,1000
236,1000
255,1000
256,1000
244,1000
255,1000
232,1000
191,1000
256,1000
298,1000
236,1000
221,1000
203,1000
243,1000
209,1000
303,1000
223,1000
260,1000
262,1000
213,1000
279,1000
235,1000
270,1000
278,1000
231,1000
242,1000
239,1000
286,1000
198,1000
245,1000
257,1000
280,1000
245,1000
205,1000
254,1000
312,1000
230,1000
218,1000
214,1000
292,1000
253,1000
191,1000
297,1000
217,1000
269,1000
295,1000
269,1000
263,1000
250,1000
254,1000
226,1000
231,1000
252,1000
204,1000
219,1000
230,1000
255,1000
212,1000
235,1000
239,1000
276,1000
259,1000
277,1000
187,1000
243,1000
