"bound","FDP_bar","m"
"DKW",0.667839702423493,10
"DKW",1,10
"DKW",0.933489513434731,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.699723714580579,10
"DKW",1,10
"DKW",0.533321765259662,10
"DKW",0.682039043262703,10
"DKW",0.809384762175757,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0.721471543960349,10
"DKW",0.972087923021603,10
"DKW",0,10
"DKW",0.723567130176336,10
"DKW",0.950030120120784,10
"DKW",0.984898602008574,10
"DKW",0.517418769173297,10
"DKW",0.698965144548511,10
"DKW",1,10
"DKW",1,10
"DKW",0.764608249370605,10
"DKW",0.842738558562331,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.73717483232978,10
"DKW",0.624960439446119,10
"DKW",0.986106272096522,10
"DKW",0.612798132376687,10
"DKW",0.820771323860382,10
"DKW",0.980618332456421,10
"DKW",0,10
"DKW",1,10
"DKW",0.631938412574632,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.799472254511997,10
"DKW",1,10
"DKW",0,10
"DKW",0.771989058025924,10
"DKW",1,10
"DKW",0.642500615101522,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.792971648374698,10
"DKW",0.65079824915073,10
"DKW",0.774292935830294,10
"DKW",0.9570138076876,10
"DKW",1,10
"DKW",1,10
"DKW",0.848764196967269,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.913873804968702,10
"DKW",1,10
"DKW",0.706602737310453,10
"DKW",1,10
"DKW",0.834808884520845,10
"DKW",0.464201252254927,10
"DKW",0.840511670286004,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.541367520581437,10
"DKW",0.941782827844027,10
"DKW",0.854804183801027,10
"DKW",0.672673764033285,10
"DKW",0.835264109682137,10
"DKW",0.796854396141536,10
"DKW",0.794412617279388,10
"DKW",0,10
"DKW",0.670283424421757,10
"DKW",1,10
"DKW",0.906469999465648,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0.598211711532184,10
"DKW",1,10
"DKW",0.911518174995202,10
"DKW",0.825588471200974,10
"DKW",0.536494021236388,10
"DKW",0,10
"DKW",0.838875167827607,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",0.445233603491318,100
"DKW",0.834957719391346,100
"DKW",0.653087108296854,100
"DKW",0.411764763807408,100
"DKW",0.661714935269674,100
"DKW",0.573039318888736,100
"DKW",0.728040146854089,100
"DKW",0.414766904878658,100
"DKW",0.423342727371015,100
"DKW",0.439120101502033,100
"DKW",1,100
"DKW",0.463109492923809,100
"DKW",0.448424065113473,100
"DKW",0.838426628809697,100
"DKW",0.60659768414555,100
"DKW",0.938053269858833,100
"DKW",0.495100259341734,100
"DKW",0.507480368717936,100
"DKW",0.442370508058166,100
"DKW",0.433939870122104,100
"DKW",1,100
