"k_hat","m"
0,10
1,10
1,10
3,10
3,10
2,10
3,10
2,10
2,10
6,10
1,10
5,10
2,10
3,10
5,10
1,10
2,10
4,10
3,10
2,10
3,10
2,10
9,10
2,10
0,10
3,10
3,10
1,10
3,10
0,10
4,10
5,10
2,10
3,10
5,10
4,10
4,10
1,10
1,10
0,10
5,10
7,10
2,10
3,10
1,10
7,10
4,10
0,10
3,10
1,10
4,10
2,10
2,10
2,10
6,10
3,10
1,10
2,10
1,10
6,10
3,10
4,10
2,10
5,10
9,10
1,10
2,10
1,10
2,10
3,10
4,10
5,10
0,10
4,10
2,10
3,10
3,10
3,10
5,10
1,10
1,10
2,10
1,10
2,10
1,10
4,10
1,10
3,10
5,10
2,10
1,10
1,10
3,10
4,10
1,10
1,10
0,10
0,10
1,10
0,10
24,100
16,100
13,100
14,100
16,100
31,100
22,100
23,100
15,100
10,100
10,100
17,100
16,100
18,100
17,100
18,100
11,100
18,100
19,100
17,100
17,100
21,100
11,100
12,100
12,100
11,100
22,100
13,100
9,100
17,100
15,100
21,100
24,100
15,100
11,100
19,100
16,100
35,100
15,100
17,100
10,100
20,100
15,100
28,100
15,100
15,100
12,100
22,100
19,100
12,100
12,100
20,100
16,100
16,100
9,100
29,100
8,100
16,100
28,100
17,100
21,100
19,100
23,100
27,100
15,100
16,100
25,100
19,100
17,100
21,100
14,100
22,100
10,100
10,100
13,100
22,100
14,100
9,100
9,100
13,100
13,100
15,100
29,100
18,100
17,100
8,100
22,100
21,100
22,100
22,100
11,100
11,100
14,100
9,100
13,100
15,100
23,100
18,100
13,100
16,100
133,1000
98,1000
96,1000
85,1000
121,1000
97,1000
92,1000
107,1000
105,1000
102,1000
93,1000
118,1000
107,1000
125,1000
79,1000
118,1000
126,1000
90,1000
124,1000
104,1000
93,1000
117,1000
108,1000
110,1000
88,1000
120,1000
109,1000
96,1000
116,1000
110,1000
96,1000
123,1000
105,1000
100,1000
97,1000
105,1000
92,1000
82,1000
120,1000
112,1000
107,1000
94,1000
104,1000
80,1000
117,1000
133,1000
99,1000
125,1000
104,1000
94,1000
92,1000
100,1000
87,1000
87,1000
106,1000
98,1000
122,1000
95,1000
93,1000
101,1000
103,1000
96,1000
122,1000
107,1000
105,1000
103,1000
98,1000
104,1000
130,1000
120,1000
101,1000
113,1000
102,1000
88,1000
114,1000
94,1000
131,1000
115,1000
107,1000
108,1000
100,1000
114,1000
87,1000
111,1000
104,1000
92,1000
108,1000
97,1000
100,1000
107,1000
