"bound","FDP_bar","m"
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.756440504741826,10
"DKW",0.877589615911386,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0.769823509731691,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.851466415725559,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.877589615911386,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.659715931162072,10
"DKW",1,10
"DKW",0.757840387746483,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.766696634781205,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.565674767913655,10
"DKW",1,10
"DKW",0,10
"DKW",0.618839814821575,10
"DKW",0.847579367882614,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.796421016140469,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.877589615911386,10
"DKW",1,10
"DKW",1,10
"DKW",0.877589615911386,10
"DKW",0.685576585180557,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.905762380964343,10
"DKW",0.679531237224408,10
"DKW",0.915925239547486,10
"DKW",0.931393657157189,10
"DKW",0,10
"DKW",0.877589615911386,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",0.995050508014254,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,100
"DKW",1,100
"DKW",0.970947845972625,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.937818115290514,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.954748732375531,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.917042923960095,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.886422359738311,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.88173276455701,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
