"bound","FDP_bar","m"
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",0.726553769546832,10
"DKW",0.726553769546832,10
"DKW",0.85819221193354,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",0.52909610596677,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.726553769546832,10
"DKW",0.638794807955693,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.726553769546832,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.52909610596677,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",0.52909610596677,10
"DKW",0.726553769546832,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",0.52909610596677,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.726553769546832,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",0.85819221193354,10
"DKW",0.576109835390594,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",0.576109835390594,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.52909610596677,10
"DKW",1,10
"DKW",1,10
"DKW",0.576109835390594,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",0.52909610596677,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.638794807955693,10
"DKW",0.638794807955693,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",0.726553769546832,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",0.726553769546832,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
"DKW",1,10
"DKW",0.638794807955693,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.85819221193354,10
"DKW",1,10
