"k_hat","m"
2,10
4,10
2,10
0,10
1,10
2,10
1,10
2,10
3,10
1,10
5,10
1,10
5,10
2,10
1,10
1,10
1,10
0,10
4,10
1,10
1,10
2,10
1,10
0,10
1,10
3,10
1,10
3,10
2,10
3,10
3,10
0,10
0,10
1,10
0,10
2,10
6,10
0,10
3,10
3,10
0,10
3,10
1,10
3,10
3,10
2,10
3,10
2,10
3,10
2,10
3,10
0,10
1,10
0,10
2,10
2,10
2,10
2,10
0,10
2,10
2,10
1,10
3,10
0,10
1,10
4,10
0,10
1,10
0,10
2,10
2,10
1,10
2,10
1,10
1,10
1,10
3,10
0,10
1,10
1,10
3,10
4,10
1,10
1,10
1,10
3,10
1,10
3,10
1,10
2,10
1,10
2,10
1,10
6,10
1,10
2,10
0,10
2,10
3,10
4,10
1,10
0,10
2,10
3,10
1,10
3,10
2,10
0,10
2,10
5,10
2,10
1,10
2,10
0,10
2,10
2,10
2,10
4,10
0,10
1,10
2,10
1,10
4,10
3,10
3,10
1,10
1,10
1,10
3,10
3,10
1,10
3,10
3,10
0,10
0,10
2,10
1,10
3,10
4,10
3,10
1,10
4,10
2,10
1,10
2,10
0,10
3,10
3,10
2,10
2,10
1,10
3,10
0,10
1,10
1,10
3,10
1,10
1,10
1,10
0,10
3,10
0,10
3,10
1,10
4,10
3,10
2,10
3,10
0,10
3,10
2,10
3,10
3,10
4,10
2,10
0,10
2,10
2,10
1,10
3,10
0,10
2,10
2,10
0,10
3,10
2,10
2,10
3,10
3,10
0,10
0,10
1,10
1,10
1,10
2,10
3,10
2,10
4,10
0,10
2,10
1,10
3,10
3,10
1,10
1,10
1,10
4,10
1,10
0,10
1,10
0,10
1,10
1,10
1,10
1,10
0,10
1,10
1,10
3,10
0,10
1,10
0,10
2,10
3,10
0,10
2,10
3,10
4,10
3,10
1,10
1,10
4,10
0,10
3,10
1,10
1,10
1,10
2,10
0,10
2,10
4,10
3,10
3,10
0,10
3,10
2,10
2,10
1,10
2,10
2,10
2,10
3,10
1,10
0,10
1,10
6,10
0,10
4,10
1,10
1,10
2,10
3,10
2,10
1,10
0,10
0,10
3,10
1,10
0,10
3,10
3,10
3,10
1,10
2,10
1,10
0,10
3,10
4,10
0,10
3,10
4,10
2,10
0,10
1,10
1,10
4,10
0,10
1,10
1,10
1,10
2,10
3,10
0,10
2,10
2,10
3,10
0,10
1,10
2,10
2,10
3,10
3,10
1,10
0,10
2,10
0,10
1,10
1,10
1,10
0,10
2,10
1,10
4,10
4,10
1,10
3,10
4,10
1,10
5,10
1,10
1,10
3,10
2,10
1,10
0,10
0,10
3,10
3,10
3,10
2,10
2,10
1,10
3,10
2,10
2,10
2,10
0,10
3,10
3,10
2,10
1,10
0,10
3,10
1,10
4,10
0,10
1,10
1,10
0,10
6,10
1,10
0,10
1,10
4,10
3,10
2,10
4,10
3,10
1,10
1,10
2,10
5,10
3,10
2,10
2,10
0,10
1,10
1,10
1,10
1,10
5,10
5,10
2,10
1,10
1,10
1,10
1,10
2,10
0,10
0,10
3,10
4,10
2,10
3,10
4,10
2,10
2,10
1,10
1,10
1,10
1,10
2,10
3,10
2,10
0,10
1,10
1,10
2,10
5,10
3,10
0,10
2,10
0,10
1,10
0,10
1,10
1,10
3,10
5,10
1,10
5,10
2,10
0,10
1,10
5,10
4,10
2,10
2,10
0,10
0,10
2,10
2,10
4,10
0,10
1,10
2,10
3,10
1,10
3,10
0,10
0,10
2,10
1,10
2,10
2,10
5,10
5,10
0,10
2,10
1,10
2,10
3,10
1,10
4,10
2,10
2,10
1,10
1,10
1,10
1,10
0,10
1,10
4,10
2,10
1,10
1,10
2,10
3,10
0,10
1,10
1,10
3,10
1,10
6,10
2,10
2,10
3,10
2,10
3,10
4,10
1,10
4,10
4,10
7,10
1,10
1,10
0,10
2,10
0,10
1,10
2,10
3,10
3,10
2,10
3,10
2,10
3,10
0,10
1,10
0,10
0,10
1,10
1,10
0,10
0,10
1,10
1,10
1,10
4,10
1,10
0,10
0,10
3,10
1,10
3,10
1,10
0,10
4,10
1,10
1,10
2,10
2,10
3,10
2,10
0,10
3,10
1,10
1,10
4,10
1,10
2,10
0,10
4,10
2,10
1,10
0,10
2,10
4,10
3,10
1,10
3,10
3,10
2,10
2,10
2,10
4,10
2,10
2,10
0,10
2,10
5,10
1,10
1,10
0,10
1,10
1,10
1,10
7,10
4,10
4,10
2,10
1,10
3,10
4,10
2,10
3,10
4,10
2,10
0,10
2,10
1,10
6,10
3,10
1,10
1,10
2,10
3,10
2,10
3,10
3,10
0,10
3,10
5,10
0,10
1,10
1,10
1,10
2,10
1,10
4,10
2,10
1,10
3,10
2,10
1,10
2,10
3,10
5,10
1,10
1,10
2,10
5,10
2,10
3,10
2,10
3,10
2,10
1,10
4,10
5,10
2,10
1,10
2,10
1,10
3,10
2,10
3,10
2,10
4,10
0,10
4,10
0,10
0,10
0,10
6,10
5,10
2,10
0,10
3,10
3,10
1,10
4,10
3,10
2,10
2,10
1,10
1,10
2,10
4,10
2,10
3,10
0,10
1,10
5,10
0,10
3,10
3,10
4,10
2,10
1,10
0,10
0,10
2,10
2,10
3,10
2,10
3,10
0,10
2,10
3,10
0,10
5,10
1,10
1,10
5,10
2,10
1,10
2,10
3,10
2,10
0,10
1,10
1,10
0,10
1,10
3,10
3,10
2,10
1,10
4,10
2,10
4,10
1,10
0,10
2,10
0,10
1,10
1,10
5,10
2,10
0,10
4,10
2,10
0,10
2,10
2,10
1,10
1,10
2,10
2,10
0,10
1,10
1,10
2,10
1,10
1,10
3,10
2,10
1,10
3,10
2,10
4,10
2,10
1,10
5,10
2,10
4,10
0,10
3,10
0,10
1,10
2,10
3,10
2,10
1,10
3,10
1,10
2,10
0,10
2,10
3,10
4,10
2,10
0,10
3,10
2,10
1,10
1,10
2,10
2,10
1,10
1,10
2,10
1,10
2,10
0,10
3,10
1,10
3,10
3,10
1,10
3,10
4,10
3,10
1,10
3,10
2,10
0,10
3,10
3,10
4,10
0,10
3,10
2,10
3,10
2,10
3,10
1,10
1,10
5,10
1,10
2,10
3,10
3,10
1,10
1,10
2,10
3,10
7,10
1,10
1,10
2,10
1,10
3,10
1,10
4,10
2,10
3,10
3,10
2,10
1,10
3,10
1,10
1,10
0,10
2,10
0,10
5,10
1,10
1,10
2,10
1,10
3,10
1,10
4,10
0,10
2,10
2,10
4,10
2,10
1,10
5,10
0,10
2,10
0,10
5,10
2,10
1,10
2,10
0,10
1,10
1,10
2,10
1,10
2,10
3,10
0,10
0,10
3,10
1,10
3,10
0,10
2,10
4,10
1,10
1,10
3,10
2,10
2,10
2,10
2,10
0,10
2,10
4,10
5,10
3,10
4,10
0,10
3,10
2,10
0,10
1,10
3,10
2,10
1,10
3,10
5,10
8,10
2,10
1,10
0,10
0,10
1,10
1,10
1,10
2,10
3,10
4,10
3,10
3,10
2,10
1,10
3,10
5,10
1,10
2,10
4,10
0,10
2,10
2,10
2,10
0,10
3,10
1,10
2,10
3,10
1,10
0,10
4,10
1,10
1,10
3,10
0,10
2,10
0,10
2,10
0,10
2,10
2,10
1,10
1,10
3,10
1,10
3,10
2,10
1,10
1,10
2,10
1,10
3,10
0,10
4,10
0,10
2,10
2,10
2,10
2,10
3,10
0,10
1,10
4,10
1,10
3,10
2,10
4,10
3,10
2,10
5,10
1,10
1,10
1,10
0,10
1,10
5,10
2,10
1,10
3,10
2,10
2,10
1,10
3,10
0,10
2,10
1,10
2,10
3,10
1,10
4,10
1,10
0,10
2,10
1,10
0,10
4,10
1,10
2,10
5,10
2,10
3,10
2,10
0,10
1,10
0,10
0,10
1,10
2,10
1,10
2,10
3,10
1,10
0,10
1,10
1,10
1,10
0,10
0,10
2,10
0,10
0,10
3,10
3,10
3,10
1,10
0,10
1,10
0,10
2,10
2,10
2,10
3,10
3,10
2,10
1,10
3,10
2,10
2,10
5,10
3,10
2,10
4,10
2,10
0,10
5,10
3,10
0,10
2,10
1,10
3,10
0,10
4,10
3,100
5,100
4,100
6,100
5,100
7,100
8,100
7,100
6,100
1,100
5,100
7,100
4,100
7,100
7,100
2,100
4,100
2,100
4,100
9,100
6,100
8,100
0,100
5,100
3,100
1,100
3,100
3,100
4,100
8,100
